	id	name	popularity	duration_ms	explicit	artists	id_artists	release_date	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	time_signature
86316	4frlkLwlnm58ejpNwWjxyl	No More Dream	69	221593	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-06-12	0.436	0.8690000000000001	2	-5.1739999999999995	1	0.47200000000000003	0.0124	1.6e-06	0.494	0.612	167.766	4
86334	1HQHuPpr2s2z3VIBTLtUmv	Like	69	231883	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-06-12	0.5820000000000001	0.726	0	-4.1739999999999995	0	0.11599999999999999	0.271	0.0	0.22699999999999998	0.768	100.45	4
86408	2Kspa0jD2MSkaEdonf4Cnb	We Are Bulletproof Pt.2	67	225360	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-06-12	0.754	0.9520000000000001	8	-5.11	0	0.153	0.00945	6.27e-06	0.18899999999999997	0.868	144.05100000000002	4
86756	5IYnriBBJz1iz1ki3bJnWo	Coffee	64	260433	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.6559999999999999	0.7979999999999999	0	-6.608	1	0.10300000000000001	0.008620000000000001	0.0	0.321	0.5720000000000001	92.03	4
86916	1hehPTlSVIhHEvCkVoe4HX	N.O	62	209752	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2013-09-11	0.594	0.914	11	-3.764	0	0.16699999999999998	0.0389	0.0	0.457	0.5710000000000001	146.885	4
87227	4ZSLc2F15wKVPjyLt169tt	Just One Day	71	239470	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-02-12	0.504	0.7120000000000001	9	-4.705	1	0.379	0.175	0.0	0.377	0.307	189.577	4
87363	6njl4FfPUwVmoIR1RKLq05	Danger	68	245140	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-08-20	0.738	0.868	1	-3.363	1	0.0703	0.000907	0.000215	0.275	0.37799999999999995	111.992	4
87390	0i0hqOQdyFFd4cR5s32w8x	Boy in Luv	68	230778	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-05-14	0.491	0.9470000000000001	0	-2.252	1	0.306	0.00262	0.0	0.34	0.473	166.247	4
87638	22gGBmp8JqlymbXQvAUlYX	Jump	65	236489	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-02-12	0.495	0.973	7	-0.9470000000000001	0	0.28300000000000003	0.0347	0.0	0.43200000000000005	0.763	102.05799999999999	4
87690	3D26URfsMlCNaa51mj9jOt	War of Hormone	65	265602	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-08-20	0.612	0.993	9	-1.895	1	0.24	0.11599999999999999	0.0	0.307	0.48700000000000004	98.00399999999999	4
87858	44gWm1spxejf9cc589qV28	Boy in Luv	63	230778	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-02-12	0.491	0.9470000000000001	0	-2.252	1	0.306	0.00262	0.0	0.34	0.473	166.247	4
88358	6kX452oUUNojKWNNuc1nqx	Butterfly	70	238862	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-11-30	0.44799999999999995	0.7759999999999999	6	-4.498	1	0.0571	0.0149	0.0	0.12	0.294	149.806	4
88659	1pePqg6hTMeaTZNNECqT03	Boyz with Fun	67	244156	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2015-04-29	0.7040000000000001	0.9590000000000001	1	-2.6069999999999998	0	0.192	0.0808	0.0	0.38299999999999995	0.7509999999999999	116.024	4
89092	5RGf8qn1TBWVplLyyKUsuV	Blood Sweat & Tears	75	217052	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2016-10-10	0.583	0.885	0	-3.571	0	0.106	0.0244	0.0	0.35700000000000004	0.601	92.959	4
